year,month,day,close,volume,start,high,low
2018,10,4,"70,000","5,778,810","71,700","72,200","69,800"
2018,10,2,"71,700","4,089,558","73,600","74,000","71,600"
2018,10,1,"73,700","2,970,456","74,300","74,600","73,200"
2018,9,28,"73,100","5,824,873","75,300","75,900","73,100"
2018,9,27,"75,000","5,841,083","75,900","75,900","74,700"
2018,9,21,"76,700","5,678,068","77,100","77,500","76,300"
2018,9,20,"79,100","3,392,490","78,600","79,900","78,000"
2018,9,19,"78,800","2,912,259","79,400","79,700","78,400"
2018,9,18,"78,000","2,450,163","76,600","78,300","76,100"
2018,9,17,"77,200","2,252,063","78,000","78,200","76,700"
2018,9,14,"77,700","4,124,842","76,100","77,800","76,000"
2018,9,13,"74,500","5,257,563","74,300","75,200","73,900"
2018,9,12,"75,100","4,330,147","76,200","76,200","74,700"
2018,9,11,"76,600","3,197,796","76,400","77,800","76,300"
2018,9,10,"76,500","4,167,711","75,900","77,100","75,500"
2018,9,7,"75,900","8,388,278","74,500","76,200","74,100"
2018,9,6,"78,800","4,516,654","78,300","78,900","77,400"
2018,9,5,"80,000","2,627,619","80,600","81,000","79,900"
2018,9,4,"81,200","1,903,734","80,600","81,600","80,200"
2018,9,3,"80,600","2,618,619","82,200","82,800","80,500"
2018,8,31,"83,000","2,303,812","81,800","83,000","81,800"
2018,8,30,"82,700","2,337,573","82,200","83,500","81,500"
2018,8,29,"82,800","2,330,703","82,500","83,300","81,600"
2018,8,28,"82,400","4,466,308","84,100","84,300","81,900"
2018,8,27,"83,500","3,070,598","82,100","83,800","81,600"
2018,8,24,"81,800","3,612,709","80,400","82,200","79,600"
2018,8,23,"81,100","3,272,130","80,300","81,300","79,300"
2018,8,22,"79,800","5,295,710","79,300","80,900","78,200"
2018,8,21,"78,400","5,663,191","74,800","78,700","74,400"
2018,8,20,"74,700","2,048,829","74,700","75,400","74,400"
2018,8,17,"74,500","2,647,963","74,400","75,500","74,100"
2018,8,16,"74,700","5,550,888","73,500","75,400","72,500"
2018,8,14,"75,900","3,206,407","75,900","76,600","75,500"
2018,8,13,"75,400","3,734,794","74,300","75,700","74,100"
2018,8,10,"75,100","6,785,694","77,200","77,600","74,600"
2018,8,9,"78,000","5,587,662","80,100","80,300","77,500"
2018,8,8,"79,800","2,804,784","81,500","81,600","79,400"
2018,8,7,"80,700","3,288,142","80,100","80,800","79,700"
2018,8,6,"79,400","5,910,100","82,200","82,300","79,300"
