년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2019-04-09,"77,800",-100,"2,322,860","181,154,774,600","77,700","78,700","77,400","56,638,584","728,002,365"
2019-04-08,"77,900","-1,100","2,663,493","208,215,353,200","78,900","79,200","77,600","56,711,384","728,002,365"
2019-04-05,"79,000",600,"2,191,720","172,626,248,800","78,200","79,300","77,900","57,512,187","728,002,365"
2019-04-04,"78,400","-1,500","5,436,236","433,083,065,400","80,400","81,400","77,800","57,075,385","728,002,365"
2019-04-03,"79,900","3,500","4,674,142","366,128,554,200","76,800","79,900","76,500","58,167,389","728,002,365"
2019-04-02,"76,400",-200,"2,719,440","209,408,682,000","77,900","78,000","76,100","55,619,381","728,002,365"
2019-04-01,"76,600","2,400","3,579,070","273,797,653,100","75,600","77,100","75,500","55,764,981","728,002,365"
2019-03-29,"74,200","1,900","3,214,170","237,521,880,600","72,900","74,900","72,700","54,017,775","728,002,365"
2019-03-28,"72,300","-1,100","2,774,932","201,485,730,800","72,300","73,600","71,700","52,634,571","728,002,365"
2019-03-27,"73,400",700,"2,744,175","200,493,158,500","71,800","74,100","71,200","53,435,374","728,002,365"
2019-03-26,"72,700",-200,"2,987,678","216,321,930,100","72,900","73,300","71,500","52,925,772","728,002,365"
2019-03-25,"72,900","-3,200","3,752,230","274,998,541,700","73,700","74,200","72,600","53,071,372","728,002,365"
2019-03-22,"76,100",200,"5,286,455","407,513,835,100","78,900","78,900","75,900","55,400,980","728,002,365"
2019-03-21,"75,900","5,400","10,030,131","747,350,585,250","73,500","76,000","72,600","55,255,380","728,002,365"
2019-03-20,"70,500","2,500","3,642,962","251,480,897,910","68,400","70,600","67,600","51,324,167","728,002,365"
2019-03-19,"68,000",200,"2,285,169","154,076,063,100","67,300","68,000","66,600","49,504,161","728,002,365"
2019-03-18,"67,800",-300,"2,158,588","147,003,130,300","69,200","69,300","67,300","49,358,560","728,002,365"
2019-03-15,"68,100",800,"3,645,592","248,338,899,400","67,400","68,700","66,700","49,576,961","728,002,365"
2019-03-14,"67,300",500,"3,107,100","208,061,008,300","67,400","67,400","66,400","48,994,559","728,002,365"
2019-03-13,"66,800",-900,"2,851,596","189,893,294,200","67,700","67,800","65,900","48,630,558","728,002,365"
