년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-11-23,"93,700",900,"558,490","52,133,868,200","92,800","94,000","92,600","20,020,709","213,668,187"
2018-11-22,"92,800","-5,000","1,527,106","143,743,787,100","98,000","98,000","92,500","19,828,408","213,668,187"
2018-11-21,"97,800",300,"883,111","85,557,251,172","96,500","97,900","95,800","20,896,749","213,668,187"
2018-11-20,"97,500","-4,000","1,295,271","127,403,430,900","101,000","101,000","97,100","20,832,648","213,668,187"
2018-11-19,"101,500","-1,500","555,495","56,513,838,500","103,000","103,500","101,000","21,687,321","213,668,187"
2018-11-16,"103,000",0,"361,507","37,129,487,500","104,000","104,500","102,000","22,007,823","213,668,187"
2018-11-15,"103,000","1,500","449,187","45,804,379,500","101,000","103,500","100,500","22,007,823","213,668,187"
2018-11-14,"101,500","-1,000","637,102","65,008,728,000","103,500","104,500","100,500","21,687,321","213,668,187"
2018-11-13,"102,500",500,"397,209","40,162,015,800","99,900","102,500","99,600","21,900,989","213,668,187"
2018-11-12,"102,000","-3,000","792,697","80,935,370,500","105,000","105,500","100,500","21,794,155","213,668,187"
2018-11-09,"105,000",-500,"668,003","71,382,476,500","106,000","110,000","104,500","22,435,160","213,668,187"
2018-11-08,"105,500","-2,000","588,487","62,876,014,000","109,000","109,000","105,500","22,541,994","213,668,187"
2018-11-07,"107,500",0,"619,311","66,087,321,000","106,500","108,000","105,500","22,969,330","213,668,187"
2018-11-06,"107,500","3,500","775,343","82,931,245,500","105,000","108,500","104,500","22,969,330","213,668,187"
2018-11-05,"104,000","-6,000","921,610","96,378,174,402","107,000","107,500","103,500","22,221,491","213,668,187"
2018-11-02,"110,000","1,500","586,857","63,780,361,000","107,000","110,500","106,500","23,503,501","213,668,187"
2018-11-01,"108,500","2,000","487,868","52,212,359,000","106,500","109,000","104,500","23,182,998","213,668,187"
2018-10-31,"106,500","-1,000","752,213","79,039,146,750","106,500","107,000","103,500","22,755,662","213,668,187"
2018-10-30,"107,500","1,500","429,587","46,465,166,500","106,500","109,500","106,000","22,969,330","213,668,187"
2018-10-29,"106,000","-2,000","876,545","92,563,469,129","106,000","108,500","104,000","22,648,828","213,668,187"
2018-10-26,"108,000","-2,000","867,074","95,606,496,500","110,000","113,000","107,500","23,076,164","213,668,187"
2018-10-25,"110,000","-7,000","1,633,392","178,785,177,600","116,000","116,000","102,500","23,503,501","213,668,187"
2018-10-24,"117,000",500,"776,694","91,104,151,325","117,500","118,500","116,000","24,999,178","213,668,187"
2018-10-23,"116,500","-1,500","575,347","66,510,769,500","117,000","118,000","114,000","24,892,344","213,668,187"
2018-10-22,"118,000","2,500","378,176","43,780,083,000","115,000","118,000","114,500","25,212,846","213,668,187"
2018-10-19,"115,500",-500,"493,067","56,927,357,490","114,500","117,500","114,000","24,678,676","213,668,187"
2018-10-18,"116,000","-2,500","708,181","81,827,466,500","118,000","118,500","114,000","24,785,510","213,668,187"
2018-10-17,"118,500","2,000","385,112","45,603,104,500","117,500","119,500","116,500","25,319,680","213,668,187"
2018-10-16,"116,500","3,000","503,295","58,492,904,000","114,000","117,500","113,500","24,892,344","213,668,187"
2018-10-15,"113,500","-2,000","697,689","79,014,444,000","116,500","117,000","111,500","24,251,339","213,668,187"
2018-10-12,"115,500",-500,"672,541","77,931,654,500","115,500","118,000","114,500","24,678,676","213,668,187"
2018-10-11,"116,000","-4,000","701,523","82,578,912,412","118,500","120,500","116,000","24,785,510","213,668,187"
2018-10-10,"120,000","-2,000","536,984","64,795,088,324","122,500","123,000","119,500","25,640,182","213,668,187"
2018-10-08,"122,000","-2,500","386,710","47,257,105,000","123,500","124,000","121,500","26,067,519","213,668,187"
2018-10-05,"124,500",0,"284,015","35,400,939,500","126,000","126,000","123,000","26,601,689","213,668,187"
2018-10-04,"124,500","-4,000","671,140","83,451,319,500","128,500","129,000","122,500","26,601,689","213,668,187"
2018-10-02,"128,500",-500,"215,297","27,691,931,250","128,500","129,500","128,000","27,456,362","213,668,187"
2018-10-01,"129,000",-500,"233,662","30,163,404,000","130,000","130,000","128,500","27,563,196","213,668,187"
